,title,year,link,rating,votes,genre,runtime
69,The Wrestlers,1899,/title/tt0156186/,3.8,23,,
70,Three Hot Babies,1899,/title/tt0264094/,,,"Short, Comedy",
71,Wintergartenprogramm,1895,/title/tt1754898/,5.9,289,Short,7 min
72,Школьницы,1897,/title/tt0216197/,5.7,723,"Short, Comedy",1 min
73,Волшебник,1898,/title/tt0214902/,6.5,625,"Short, Fantasy, Horror",1 min
74,Мужская парикмахерская,1894,/title/tt0229235/,5.3,915,"Documentary, Short",1 min
75,Водолазы за работой,1898,/title/tt0224357/,6.0,418,"Short, Drama, News",1 min
76,Игра в снежки,1897,/title/tt0000041/,6.7,1265,"Documentary, Short, Action",1 min
77,Партия в карты,1896,/title/tt0000132/,5.1,775,"Short, Biography",1 min
78,Cléopâtre,1899,/title/tt0000234/,6.3,32,"Short, Horror",
79,Bertoldi (Mouth Support),1894,/title/tt0240372/,4.7,15,Short,
80,Woman Walking Downstairs,1887,/title/tt7863358/,5.7,66,"Documentary, Short",1 min
81,L'hallucination de l'alchimiste,1897,/title/tt0000152/,6.2,133,"Short, Fantasy, Horror",2 min
82,Коронация императора Николая Второго,1896,/title/tt0229700/,6.1,90,"Documentary, Short, News",2 min
83,Opening of the Kiel Canal,1895,/title/tt0000024/,5.5,22,"Short, News",
84,Boys Playing Leapfrog: Side View,1887,/title/tt7541160/,5.3,42,"Short, Sport",1 min
85,Весёлый скелет,1898,/title/tt1740545/,6.6,628,"Short, Comedy, Fantasy",1 min
86,"Сэндоу, современный Геркулес",1894,/title/tt0203853/,5.3,973,"Documentary, Short",1 min
87,Portuguese Railway Train,1896,/title/tt0000231/,4.4,5,"Documentary, Short",1 min
88,Море,1895,/title/tt0000023/,5.7,994,"Documentary, Short",1 min
89,Le cabinet de Méphistophélès,1897,/title/tt0000159/,5.5,40,"Short, Horror",1 min
90,Baignade de chevaux,1896,/title/tt7647784/,5.3,27,"Documentary, Short, Drama",1 min
91,Китайский опиумный притон,1894,/title/tt0000006/,5.4,100,Short,1 min
92,Aladdin,1898,/title/tt2144584/,5.4,5,"Short, Fantasy",
93,Танец Буффало,1894,/title/tt0309402/,5.4,736,"Documentary, Short",1 min
94,The Humpty Dumpty Circus,1898,/title/tt0000704/,5.5,10,"Animation, Short, Comedy",
95,Reproduction of the Corbett and Jeffries Fight,1899,/title/tt0263933/,4.5,31,"News, Sport",
96,A Watermelon Feast,1896,/title/tt0000135/,7.0,48,"Documentary, Short",
97,Акробатическая смесь,1895,/title/tt0000011/,5.4,227,"Documentary, Short",1 min
98,Кошачий бокс,1894,/title/tt0219560/,5.9,893,"Short, Action, Comedy",1 min
99,Mosquinha,1890,/title/tt5285442/,6.4,322,Short,1 min
100,Matches: An Appeal,1899,/title/tt0000251/,5.4,72,"Animation, Short",
101,Шалости 3,1890,/title/tt0416047/,4.5,267,Short,1 min
102,Pompiers à Lyon,1896,/title/tt0000104/,5.7,351,"Documentary, Short",1 min
103,Adjutant Walking,1887,/title/tt8696470/,4.9,9,"Documentary, Short",
104,Dancing Niggers,1899,/title/tt0772769/,8.1,98,Short,
105,Господин Эдисон за работой в химической лаборатории,1897,/title/tt0216924/,5.1,557,"Documentary, Short",1 min
106,Sandow,1896,/title/tt1428455/,5.5,744,"Short, Sport",1 min
107,Танец бабочки,1894,/title/tt0229217/,5.9,718,"Documentary, Short",1 min
108,L'arroseur arrosé,1897,/title/tt0000136/,6.3,269,"Short, Comedy",1 min
109,Гружёный поезд в ущелье Чилкут,1898,/title/tt0256988/,5.3,401,"Short, Documentary",1 min
110,Партия в карты,1896,/title/tt0000026/,5.7,1194,"Documentary, Short",1 min
111,Кузнецы,1895,/title/tt0000022/,5.2,783,"Documentary, Short",1 min
112,The Haunted Castle,1897,/title/tt0000153/,5.7,259,"Short, Horror",1 min
113,"Пошли скорее, давай!",1898,/title/tt0000182/,5.0,417,"Short, Comedy",1 min
114,"Драгуны, переправляющиеся через реку",1896,/title/tt0256732/,5.3,491,"Short, Documentary",1 min
115,Прогулка страусов,1896,/title/tt0257017/,5.6,478,"Short, Documentary",1 min
116,Нью-Йорк: Бродвей и площадь Юнион,1896,/title/tt0256962/,5.6,560,"Short, Documentary",1 min
117,Le scieur de bois mélomane,1898,/title/tt1740514/,5.3,207,"Short, Comedy",1 min
118,Arrivée d'un train gare de Vincennes,1896,/title/tt0000034/,5.5,108,"Documentary, Short",1 min
